"tPi_ns","Delta_g3_minus_g3prime","clean_infidelity","clean_leakage","qs_infidelity","qs_leakage","onef_infidelity","onef_leakage"
91.16056881941459,9.5,1.4878098753001723e-12,1.4878098753001723e-12,0.000016235987324023092,9.397664488819401e-8,0.000006367822923372124,1.7224325804865437e-7
90.21097956087903,9.6,1.2212453270876722e-12,1.2212453270876722e-12,0.000015003319820494632,1.0974867478585893e-7,0.00000701165549203131,1.589028163101469e-7
89.28096946231327,9.700000000000001,1.0114131754335176e-12,1.011302153131055e-12,0.000013572202086038487,1.1383927603858534e-7,0.000005747134630047502,1.5906363644957455e-7
88.36993916167741,9.8,8.628653347386717e-13,8.628653347386717e-13,0.000015184791748749093,1.0266747678677745e-7,0.000006254655157693634,1.5056118568557153e-7
87.47731351357965,9.9,7.776002064474596e-13,7.774891841449971e-13,0.000011865204243923233,9.57603743323432e-8,0.000005924651537704828,1.5695928674952508e-7
86.60254037844386,10,7.496225862269057e-13,7.496225862269057e-13,0.0000134663962029119,1.0149845443563343e-7,0.000006904434237014478,1.4776584711273522e-7
85.74508948360779,10.1,7.7982065249671e-13,7.80042697101635e-13,0.000014093354753380582,1.0326283126971259e-7,0.00000698121881414937,1.612015449259374e-7
84.90445135141555,10.200000000000001,8.598677325721837e-13,8.599787548746463e-13,0.000015116396974033109,1.0333884415514304e-7,0.000005818026403486276,1.664794168410033e-7
84.08013628975132,10.3,9.818812429784884e-13,9.81992265280951e-13,0.000011361889573685002,1.0042841392443602e-7,0.00000636412565550637,1.5141503067028773e-7
83.2716734408114,10.4,1.1595169269185135e-12,1.159627949220976e-12,0.00001416566115261697,1.0580173257612734e-7,0.000006116621415533374,1.4807674659722548e-7
82.47860988423224,10.5,1.3714585023194559e-12,1.3713474800169934e-12,0.000012759449257393474,1.1007401008400475e-7,0.0000066991813839029076,1.5071561162816048e-7
81.70050979098477,10.600000000000001,1.616484723854228e-12,1.6162626792493029e-12,0.000012059171824128635,9.857852276196066e-8,0.000005664083777156547,1.5459882522272927e-7
80.93695362471388,10.700000000000001,1.8809398483199402e-12,1.8810508706224027e-12,0.000012583095110761944,9.801813788290481e-8,0.000006269140266423334,1.5603405461139809e-7
80.187537387448,10.8,2.1841417563450705e-12,2.1841417563450705e-12,0.000014486982995937092,1.2454691705632293e-7,0.000005950049909217992,1.4691401400590553e-7
79.45187190682921,10.9,2.4976687384992147e-12,2.497779760801677e-12,0.000011807144460622144,9.886759406829704e-8,0.00000710315534036221,1.4104308628304363e-7
78.72958216222169,11,2.8266278206956486e-12,2.826738842998111e-12,0.000011488382243196594,1.02675277032227e-7,0.0000057453522173006584,1.4661394853676678e-7
78.0203066472467,11.100000000000001,3.1679103784654217e-12,3.1679103784654217e-12,0.000012885136257972385,1.081794895785304e-7,0.00000534213496244107,1.4966622475853786e-7
77.32369676646772,11.200000000000001,3.5154101851730957e-12,3.5154101851730957e-12,0.000012885819290019417,1.0662491132573671e-7,0.000005839167819720603,1.5628313620119628e-7
76.63941626410961,11.3,3.863687147998007e-12,3.863576125695545e-12,0.000012093253771909285,1.1135539551010432e-7,0.000006063373898009261,1.5485187739028294e-7
75.9671406828455,11.4,4.198419389922492e-12,4.198197345317567e-12,0.000012342226498037178,1.1879824034610742e-7,0.0000054865125043229715,1.5257114093947254e-7
75.30655685082074,11.5,4.544808973605541e-12,4.544808973605541e-12,0.000011629820632498289,1.1622691712731559e-7,0.000005597266200182971,1.5004944444729774e-7
74.65736239521021,11.600000000000001,4.879430193227563e-12,4.879430193227563e-12,0.0000103941115269518,1.040877852453992e-7,0.000005254413288822701,1.549515129317669e-7
74.01926528072124,11.700000000000001,5.197620112085133e-12,5.197398067480208e-12,0.000011748128645356347,1.3557487771542753e-7,0.0000049481991048488935,1.5707429596723e-7
73.39198337156259,11.8,5.505595979116151e-12,5.505595979116151e-12,0.000012165576710927994,9.504364020418432e-8,0.000006281792569528544,1.524256921153766e-7
72.77524401549904,11.9,5.798694857617193e-12,5.79858383531473e-12,0.000012040943704511586,1.1083348850693398e-7,0.000005096212171902814,1.4761308599786638e-7
72.16878364870321,12,6.076361636075944e-12,6.076139591471019e-12,0.000010536977789867286,1.0774899679710792e-7,0.000005203122047304221,1.3830567877182176e-7
71.57234742020152,12.100000000000001,6.3337113331840555e-12,6.3339333777889806e-12,0.000011202086141510192,1.1154565149995576e-7,0.000004973766649195022,1.5112446144216473e-7
